screen,dose,Drug.Name,repurposing_target,MOA,IDs,combined_targets,citeline_targets,prism_targets,Syns
REP.PRIMARY,2.5,SAPROPTERIN,"NOS3, PAH, TH, TPH1",PHENYLALANINE 4-HYDROXYLASE STIMULANT,BRD:BRD-K36859431-300-02-3,"NOS3,PAH,TH,TPH1,DBH","DBH,PAH,","NOS3,PAH,TH,TPH1,","6r bh4;6r bh4 (tablet);6r-bh4;6r-bh4 (granules);bh4;bh4 (granules);bh4 (tablet);biopten;biopten (granules);biopten (tablet);kuvan;kuvan (granules);kuvan (tablet);phenoptin;phenoptin (granules);phenoptin (tablet);sapropterin;sapropterin (granules);sapropterin (tablet);sapropterin dihydrochloride;sapropterin dihydrochloride (granuels);sapropterin dihydrochloride (tablet);sun 0588;sun 0588 (granules);sun 0588 (tablet);sun 0588m;sun 0588m (granules);sun 0588m (tablet);sun-0588r;sun-0588r (granules);sun-0588r (tablet);tetrahydrobiopterin, biomarin;tetrahydrobiopterin, biomarin (granules);tetrahydrobiopterin, biomarin (tablet);(6r)-tetrahydrobiopterin;6r-tetrahydro-l-biopterin;biopten granules;sun-0588;sun-0588mj;sun-0588m;sapropterin (atypical phenylketonuria), asubio;sapropterin (atypical phenylketonuria), daiichi sankyo"
REP.PRIMARY,2.5,HYDROFLUMETHIAZIDE,"ATP1A1, CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A1, SLC12A3",SODIUM/POTASSIUM/CHLORIDE TRANSPORTER INHIBITOR,BRD:BRD-K36862742-001-25-6,"ATP1A1,CA1,CA12,CA2,CA4,CA9,KCNMA1,SLC12A1,SLC12A3",,,
REP.PRIMARY,2.5,BD-1047,SIGMAR1,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-K36864847-303-02-5,"SIGMAR1,OPRD1","OPRD1,","SIGMAR1,",bd-1047
REP.PRIMARY,2.5,TETRAMETHYLTHIURAM-MONOSULFIDE,"","",BRD:BRD-K36889451-001-01-1,"",,,
REP.PRIMARY,2.5,GLYBURIDE,"ABCA1, ABCB11, ABCC8, ABCC9, CFTR, CPT1A, KCNJ1, KCNJ11, KCNJ5, KCNJ8, SLCO2B1","ATP CHANNEL BLOCKER, INSULIN SECRETAGOGUE, SULFONYLUREA",BRD:BRD-K36927236-001-32-6,"ABCA1,ABCB11,ABCC8,ABCC9,CFTR,CPT1A,KCNJ1,KCNJ11,KCNJ5,KCNJ8,SLCO2B1",",","ABCA1,ABCB11,ABCC8,ABCC9,CFTR,CPT1A,KCNJ1,KCNJ11,KCNJ5,KCNJ8,SLCO2B1,","18f-labeled glyburide analogs, university of pennsylvania;2-(18f) fluoroethoxyglyburide;2-18f-fe-5-br-glyburide"
REP.PRIMARY,2.5,M-CHLOROPHENYLBIGUANIDE,"HTR3A, HTR3B",SEROTONIN RECEPTOR AGONIST,BRD:BRD-K36965586-003-08-8,"HTR3A,HTR3B",,,
REP.PRIMARY,2.5,TONABERSAT,"","GAP JUNCTION MODULATOR, NITRIC OXIDE PRODUCTION INHIBITOR",BRD:BRD-K36970462-001-01-6,"",",",",","sb220453;sb-220453;tonabersat;usl260;usl-260;5-ht1d agonist (migraine), minster;5-ht1d agonist (migraine), sb"
REP.PRIMARY,2.5,GO-6983,"PRKCA, PRKCB, PRKCD, PRKCG, PRKCZ",PROTEIN KINASE INHIBITOR,BRD:BRD-K36984403-001-02-7,"PRKCA,PRKCB,PRKCD,PRKCG,PRKCZ",",","PRKCA,PRKCB,PRKCD,PRKCG,PRKCZ,",go-6976;go-6983;goe-6976
REP.PRIMARY,2.5,FEXINIDAZOLE,"","",BRD:BRD-K37069697-001-01-3,"",NaN,NaN,"fexinidazole;fexinidazole (suspension);fexinidazole (tablet);hoe-239;hoe-239 (suspension);hoe-239 (tablet);fexinidazole winthrop;fexinidazole (african sleeping sickness), drugs for neglected diseases initiative;fexinidazole (hat), drugs for neglected diseases initiative;fexinidazole (human african trypanosomiasis), drugs for neglected diseases initiative"
REP.PRIMARY,2.5,LYCOPENE,"",FREE RADICAL SCAVENGER,BRD:BRD-K37083340-001-02-3,"",,,
REP.PRIMARY,2.5,TRIENTINE,CA14,CHELATING AGENT,BRD:BRD-K37111771-300-02-6,CA14,",","CA14,","cuprior;trientine tetrahydrochloride, gmp-orphan;gma-131;trientine;trientine tetrahydrochloride;trientine tetrahydrochloride (wilson's disease), gmp-orphan"
REP.PRIMARY,2.5,RIVAROXABAN,F10,COAGULATION FACTOR INHIBITOR,BRD:BRD-K37130656-001-04-6,F10,NaN,NaN,"rivaroxaban, sk chemicals;sid143;sid-143;bay-59-7939;factor xa inhibitor (thrombosis), bayer/ ortho-mcneil;xarelto;rivaroxaban"
REP.PRIMARY,2.5,1-HEXADECANOL,"","",BRD:BRD-K37203094-001-02-5,"",,,
REP.PRIMARY,2.5,CEP-33779,JAK2,JAK INHIBITOR,BRD:BRD-K37237504-001-02-7,JAK2,"JAK2,","JAK2,",cep33779;cep-33779
REP.PRIMARY,2.5,ASTEMIZOLE,"HRH1, KCNH1, KCNH2",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-K37249724-001-25-7,"KCNH2,HRH1,KCNH1","HRH1,","KCNH2,",norastemizole;soltara;tecastemizole;r-43512;t-1348
REP.PRIMARY,2.66,MIFEPRISTONE,"AR, NR1I2, NR3C1, PGR","GLUCOCORTICOID RECEPTOR ANTAGONIST, PROGESTERONE RECEPTOR ANTAGONIST",BRD:BRD-K37270826-001-27-6,"AR,NR1I2,NR3C1,PGR,PTGER2,PTGER3,PTGER4,PTGIR,CYP11B1,PTGER1","NR3C1,PGR,","AR,NR1I2,NR3C1,PGR,","mifepristone, vgx;pictovir;vgx-410;vgx-410c;mifepristone;mifepristone (hiv/hcv), vgx pharmaceuticals;mifepristone (hiv/hcv), viral genomix"
REP.PRIMARY,2.5,MIFEPRISTONE,"AR, NR1I2, NR3C1, PGR","GLUCOCORTICOID RECEPTOR ANTAGONIST, PROGESTERONE RECEPTOR ANTAGONIST",BRD:BRD-K37270826-001-31-8,"AR,NR1I2,NR3C1,PGR,PTGER2,PTGER3,PTGER4,PTGIR,CYP11B1,PTGER1","NR3C1,PGR,","AR,NR1I2,NR3C1,PGR,","mifepristone, vgx;pictovir;vgx-410;vgx-410c;mifepristone;mifepristone (hiv/hcv), vgx pharmaceuticals;mifepristone (hiv/hcv), viral genomix"
REP.PRIMARY,2.5,CLOZAPINE,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR3A, HTR5A, HTR6, HTR7","DOPAMINE RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",BRD:BRD-K37289225-001-36-4,"ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,CALY,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,DRD1,DRD2,DRD3,DRD4,DRD5,HRH1,HRH4,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR3A,HTR5A,HTR6,HTR7",NaN,NaN,"clozapine, azur-2;clozapine, elan;clozapine, nanocrystal;clozaril;leponex;clozapine"
REP.PRIMARY,2.5,KENPAULLONE,"CCNB1, CDK1, CDK5, GSK3B","CDK INHIBITOR, GLYCOGEN SYNTHASE KINASE INHIBITOR",BRD:BRD-K37312348-001-15-0,"CCNB1,CDK1,CDK5,GSK3B",",","CCNB1,CDK1,CDK5,GSK3B,","alsterpaullone;cdk inhibitors, gilead;9-nitro-paullone;nsc-664704;nsc-672234;nsc-705701;kenpaullone"
REP.PRIMARY,2.5,EFAPROXIRAL,"HBA1, HBB","HAEMOGLOBIN OXYGEN RELEASE STIMULANT, HEMOGLOBIN OXYGEN RELEASE STIMULANT",BRD:BRD-K37355418-236-01-6,"HBA1,HBB",",","HBA1,HBB,",efaproxiral;efaproxiral sodium;efaproxyn;excelar;gsj-61;jp-4;kdd-86;revaproxyn;rs-4;rsr13;rsr-13;rsr-4
REP.PRIMARY,2.5,FILANESIB,KIF11,"KINESIN INHIBITOR, KINESIN-LIKE SPINDLE PROTEIN INHIBITOR",BRD:BRD-K37379014-001-01-2,KIF11,"KIF11,","KIF11,","arry 520;arry 649;arry520;arry-520;arry649;arry-649;filanesib;filanesib hydrochloride;ksp inhibitors (cancer), array;kinesin spindle protein inhibitors (cancer), array"
REP.PRIMARY,2.5,CONIVAPTAN,"AVPR1A, AVPR2",VASOPRESSIN RECEPTOR ANTAGONIST,BRD:BRD-K37385792-003-02-1,"AVPR1A,AVPR2",NaN,NaN,"conivaptan hydrochloride, zydus cadila"
REP.PRIMARY,2.5,IDEBENONE,"",CALCIUM CHANNEL MODULATOR,BRD:BRD-K37516142-001-10-5,"PTGS1,PTGS2",",",",",arkzat;avan;cerestabon;cv-2619;geniceral;idebenone;lucebanol;mnesis;qsa-10;arzkat;catena;idecortex;puldysa;raxone;snt-mc17;sovrima
REP.PRIMARY,2.5,ZARDAVERINE,PDE4D,PHOSPHODIESTERASE INHIBITOR,BRD:BRD-K37561857-001-15-5,"PDE4D,PDE3A,PDE4A,PDE4B,PDE4C","PDE3A,PDE4A,PDE4B,PDE4C,PDE4D,","PDE4D,",b-842-90;by-290;zardaverine
REP.PRIMARY,2.5,GSK256066,PDE4A,PHOSPHODIESTERASE INHIBITOR,BRD:BRD-K37590257-001-02-8,"PDE4A,PDE4B,PDE4C,PDE4D","PDE4A,PDE4B,PDE4C,PDE4D,","PDE4A,","256066;256066 (inhaled);256066 (intranasal);gsk256066;gsk-256066;gsk256066 (inhaled);gsk-256066 (inhaled);gsk256066 (intranasal);gsk-256066 (intranasal);256066 (asthma, copd, inhalant formulation), glaxosmithkline;gsk-256066 (asthma, copd, inhalant formulation), glaxosmithkline;pde 4 inhibitors (inhaled, copd/asthma/allergic rhinitis), glaxosmithkline;sb-207499 analogs, gsk"
REP.PRIMARY,2.5,MRS-1220,"ADORA2B, ADORA3",ADENOSINE RECEPTOR ANTAGONIST,BRD:BRD-K37618799-001-03-0,"ADORA2B,ADORA3",",","ADORA2B,ADORA3,","cgs-15943 derivatives, nih;mrs-1177;mrs-1178;mrs-1186;mrs-1220;mrs-1224;mrs-1334;mrs-1703;mrs-1704;mrs-1705;mrs-1751;mrs-1752;mrs-1753;psb-11;adenosine a3 antagonists, nih;adenosine a2 antagonists, nih;adenosine antagonists, nih"
REP.PRIMARY,2.44,PIROMIDIC-ACID,"",BACTERIAL DNA GYRASE INHIBITOR,BRD:BRD-K37682401-001-09-3,"",,,
REP.PRIMARY,2.5,PIROMIDIC-ACID,"",BACTERIAL DNA GYRASE INHIBITOR,BRD:BRD-K37682401-213-01-1,"",,,
REP.PRIMARY,2.5,AZD8330,MAP3K1,MEK INHIBITOR,BRD:BRD-K37687095-001-06-9,"MAP3K1,MAP2K1,MAP2K2","MAP2K1,MAP2K2,",",","arry-424704;arry-704;azd8330;azd-8330;anticancer therapeutic (solid tumors) (3), astrazeneca"
REP.PRIMARY,2.5,RU-28318,NR3C2,CYTOCHROME P450 INHIBITOR,BRD:BRD-K37687387-237-01-7,NR3C2,"NR3C2,","NR3C2,",oxprenoate potassium;ru-28318
REP.PRIMARY,2.5,FIPEXIDE,"",PSYCHOACTIVE DRUG,BRD:BRD-K37688416-003-13-1,"",,,
REP.PRIMARY,2.5,DOXEPIN,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HRH2, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, KCNH2, SLC6A2, SLC6A4",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-K37694030-003-12-7,"ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,DRD2,HRH1,HRH2,HRH4,HTR1A,HTR2A,HTR2B,HTR2C,HTR6,KCNH2,SLC6A2,SLC6A4,SLC6A3",NaN,NaN,"cidoxepin, elorac"
REP.PRIMARY,2.5,ABT-724,DRD4,DOPAMINE RECEPTOR AGONIST,BRD:BRD-K37714784-305-02-1,DRD4,",","DRD4,",abt-724
REP.PRIMARY,2.5,SB-525334,TGFBR1,TGF BETA RECEPTOR INHIBITOR,BRD:BRD-K37720887-001-07-8,TGFBR1,",","TGFBR1,",sb-525334
REP.PRIMARY,2.5,DIOSCIN,CXCR3,APOPTOSIS STIMULANT,BRD:BRD-K37723606-001-01-5,CXCR3,,,
REP.PRIMARY,2.5,TYLOSIN,"",PROTEIN SYNTHESIS INHIBITOR,BRD:BRD-K37753391-046-03-2,"",NaN,NaN,"tetrahydrodesmicosine;tetrahydrotylosin;tylosin derivatives, pliva"
REP.PRIMARY,2.5,PF-03758309,PAK4,P21 ACTIVATED KINASE INHIBITOR,BRD:BRD-K37764012-001-04-1,"PAK4,PAK1","PAK1,PAK4,","PAK4,",pf-03758309;pf-03758609;pf309;pf-309;pf-3758309;pf-02622285
REP.PRIMARY,2.5,AFOBAZOLE,"",ANXIOLYTIC,BRD:BRD-K37793595-003-01-7,"GABRA1,GABRA2,GABRA3,GABRA5","GABRA1,GABRA2,GABRA3,GABRA5,",",",afobazol;afobazole;gnr014;gnr-014;cm-346;sm-346;afobazol;afobazole;aphobazole;fabomotizole;obenoxazine
REP.PRIMARY,2.5,ETOPOSIDE,"TOP2A, TOP2B",TOPOISOMERASE INHIBITOR,BRD:BRD-K37798499-001-27-2,"TOP2A,TOP2B","TOP2A,",",","bmy-40481;etopofos;etopophos;etoposide phosphate, bms;eposide;eposin;nsc-141540;nexvep;vp-16;vp-16-213;vepesid;etopofos;etoposide;etoposide phosphate"
REP.PRIMARY,2.5,ACEPROMAZINE,"ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A",DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-K37814297-050-09-6,"ADRA1A,ADRA1B,DRD1,DRD2,HTR1A,HTR2A",,,
REP.PRIMARY,0.25,"3,3'-DIINDOLYLMETHANE","AR, HIF1A, IFNG, PI3","CHK INHIBITOR, CYTOCHROME P450 ACTIVATOR, INDOLEAMINE 2,3-DIOXYGENASE INHIBITOR",BRD:BRD-K37846922-001-09-4,"AR,HIF1A,IFNG,PI3",,,
REP.PRIMARY,2.5,LY2183240,FAAH,"FAAH INHIBITOR, FAAH REUPTAKE INHIBITOR",BRD:BRD-K37865504-001-04-1,FAAH,,,
REP.PRIMARY,2.5,TIROFIBAN,"ITGA2B, ITGB3","PLATELET AGGREGATION INHIBITOR, STRUCTURAL GLYCOPROTEIN ANTAGONIST",BRD:BRD-K37872686-003-01-9,"ITGA2B,ITGB3","ITGA2B,ITGB3,",",","aggrastat (transdermal), medicure;aggrastat, transdermal, medicure;tirofiban (transdermal), medicure;tirofiban hydrochloride (transdermal), medicure;tirofiban hydrochloride, transdermal, medicure;tirofiban, transdermal, medicure"
REP.PRIMARY,2.5,CAMPTOTHECIN,TOP1,TOPOISOMERASE INHIBITOR,BRD:BRD-K37890730-001-15-1,"TOP1,GH1,HIF1A,TOP2A,WRN","TOP1,",",",9-ac;9-ac[cd];9-amino-20(s)-camptothecin;9-aminocamptothecin;9-aminocamptothecin (intraperitoneal);9-aminocamptothecin (iv);9-aminocamptothecin (oral);aminocamptothecin;aminocamptothecin (intraperitoneal);aminocamptothecin (iv);aminocamptothecin (oral);idec-132;nsc-603071;9-amino-20 (s)-camptothecin
REP.PRIMARY,2.5,ETIDRONIC-ACID,"ATP6V1A, PTPRS",BONE RESORPTION INHIBITOR,BRD:BRD-K37949327-001-06-3,"ATP6V1A,PTPRS",,,
REP.PRIMARY,2.5,"L-732,138","TACR1, TACR2",TACHYKININ ANTAGONIST,BRD:BRD-K37952347-001-01-4,"TACR1,TACR2",,,
REP.PRIMARY,2.5,PAROXETINE,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2, SLC6A4",SELECTIVE SEROTONIN REUPTAKE INHIBITOR (SSRI),BRD:BRD-K37991163-003-13-4,"CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,HTR2A,SLC6A2,SLC6A4,TACR1,GABRA1,GABRA2,GABRA3,GABRA5,NR3C1","SLC6A4,TACR1,",",","paroxetine + vestipitant, gsk;vestipitant + paroxetine;vestipitant + paroxetine, gsk;vestipitant mesylate + paroxetine;597599 + paroxetine;gw-597599 + paroxetine"
REP.PRIMARY,2.5,CLOCORTOLONE-PIVALATE,"NR3C1, PLA2G1B",STEROID,BRD:BRD-K38003476-001-09-1,"NR3C1,PLA2G1B",,,
REP.PRIMARY,2.5,ETHAMIVAN,"",RESPIRATORY STIMULANT,BRD:BRD-K38055836-001-21-1,"",,,
REP.PRIMARY,2.5,GADODIAMIDE,"",RADIOPAQUE MEDIUM,BRD:BRD-K38140108-002-01-2,"",NaN,NaN,gadodiamide;omniscan;dv-7572;gddtpa-bma;s-041;gadodiamide hydrate
REP.PRIMARY,2.5,TRAXOPRODIL,GRIN2B,GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-K38158531-001-02-1,GRIN2B,"GRIN2B,","GRIN2B,","cp-101,606;cp-101606;cp-283097;traxoprodil;traxoprodil mesylate;cp 101606-27;cp-101581;cp-98113;traxoprodil mesylate hydrate"
REP.PRIMARY,2.5,CLONAZEPAM,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO",GABA BENZODIAZEPINE SITE RECEPTOR AGONIST,BRD:BRD-K38183498-001-02-0,"GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,TSPO,SLC6A4","GABRA1,GABRA2,GABRA3,GABRA5,","GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,TSPO,",b-7;clonazepam;clonazepam odt;epileptil;klonopin;klonopin rapidly disintegrating;randsen;rivatril;rivotril;rivotril-c;ro-5-4023;iktorivil
REP.PRIMARY,2.5,BUMETANIDE,"CFTR, GPR35, SLC12A1, SLC12A2, SLC12A4, SLC12A5",SOLUTE CARRIER FAMILY MEMBER INHIBITOR,BRD:BRD-K38197229-001-29-9,"CFTR,GPR35,SLC12A1,SLC12A2,SLC12A4,SLC12A5",NaN,NaN,"bumetanide, b&a therapeutics;bumetanide, b&a therapeutics"
REP.PRIMARY,2.5,NARLAPREVIR,"",HCV INHIBITOR,BRD:BRD-K38287497-001-01-2,"",",",",","518;518 (suspension);518 (tablet);arlansa;narlaprevir;narlaprevir (suspension);narlaprevir (tablet);sch 518;sch 518 (suspension);sch 518 (tablet);sch 900518;sch 900518 (suspension);sch 900518 (tablet);sch-518;sch-518 (suspension);sch-518 (tablet);sch-900518;sch-900518 (suspension);sch-900518 (tablet);ns3 serine protease inhibitor (oral, hcv), merck & co;ns3 serine protease inhibitor (oral, hcv), schering-plough"
REP.PRIMARY,2.5,DOMPERIDONE,"DRD2, DRD3",DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-K38305202-001-17-4,"DRD2,DRD3,PTGS1,PTGS2,ATP4A",NaN,NaN,"domperidone + pantoprazole, eurofarma;pantoprazole + domperidone, eurofarma"
REP.PRIMARY,2.5,PHENACETIN,PTGS1,CYCLOOXYGENASE INHIBITOR,BRD:BRD-K38323065-001-19-9,PTGS1,,,
REP.PRIMARY,2.5,UPROSERTIB,"AKT1, AKT2, AKT3",AKT INHIBITOR,BRD:BRD-K38332599-001-01-3,"AKT1,AKT2,AKT3","AKT1,","AKT1,AKT2,AKT3,","gsk 2141795;gsk2141795;gsk-2141795;lae 003;lae003;lae-003;upb 795;upb795;upb-795;uprosertib;akt inhibitor (oral, cancer), glaxosmithkline;gsk-2141795 + trametinib;gsk-795 + trametinib;uprosertib + trametinib;uprosertib + trametinib (cancer), glaxosmithkline;uprosertib + trametinib (cancer), laekna therapeutics;uprosertib + trametinib (cancer), novartis"
REP.PRIMARY,2.5,FK-3311,PTGS2,CYCLOOXYGENASE INHIBITOR,BRD:BRD-K38350380-001-01-8,PTGS2,",","PTGS2,",fk-3311
REP.PRIMARY,2.5,3-AQC,HTR3A,SEROTONIN RECEPTOR AGONIST,BRD:BRD-K38370968-050-01-3,HTR3A,,,
REP.PRIMARY,2.5,THIAMET-G,MGEA5,GLCNAC PHOSPHOTRANSFERASE INHIBITOR,BRD:BRD-K38380126-001-01-4,MGEA5,,,
REP.PRIMARY,2.5,IMIPRAMINE,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A2, SLC6A3, SLC6A4","NOREPINEPHRINE REPUTAKE INHIBITOR, SEROTONIN REUPTAKE INHIBITOR",BRD:BRD-K38436528-003-26-1,"ADRA1A,ADRA1B,ADRA1D,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,DRD1,DRD2,DRD5,HRH1,HTR1A,HTR2A,HTR2C,HTR6,HTR7,KCND2,KCND3,KCNH1,KCNH2,SLC6A2,SLC6A3,SLC6A4,ADRA2A,ADRA2B,ADRB1,ADRB2,ADRB3,HTR1D,HTR3A,GABRA1,GABRA2,GABRA3,GABRA5",NaN,NaN,"imipramine derivatives, adolor"
REP.PRIMARY,2.5,DIAZOOXONORLEUCINE,"",GLUTAMATE RECEPTOR ANTAGONIST,BRD:BRD-K38458514-001-01-8,"",",",",","6-diazo-5-oxo-l-norleucine;diazooxonorleucine+glutaminase;don;glutadon;glutaminase+diazooxonorleucine;6-diazo-5-oxo-l-norleucine + pegylated glutaminase, me medical enzyme;don + peg-pga;don + peg-pga, medical enzymes;pegylated glutaminase + glutamine analog combination (solid tumor), medical enzymes;solid tumor therapy, me medical enzymes"
REP.PRIMARY,2.5,CILOMILAST,"PDE4A, PDE4B, PDE4D",PHOSPHODIESTERASE INHIBITOR,BRD:BRD-K38473998-001-02-0,"PDE4A,PDE4B,PDE4D,PDE4C","PDE4A,",",","al3583;al-3583;al38583;al-38583;cilomilast, alcon;cilomilast, ophthalmic;cilomilast;cilomilast (ophthalmic disease), alcon;cilomilast (ophthalmic disease), gsk"
REP.PRIMARY,2.5,VER-49009,HSP90AA1,HSP INHIBITOR,BRD:BRD-K38548312-001-01-0,HSP90AA1,"HSP90AA1,",",","auy922;auy-922;hsp90 inhibitor (intravenous), vernalis/novartis;hsp90 inhibitors, novartis;hsp90 inhibitors, vernalis;luminespib;nvp-auy 922;nvp-auy922;ver-49009;ver-52296;cct-018159;cct-066950;cct-066952;cct-066965;cct-0669963;cct-072440;g-3129;g-3130;hsp 90 inhibitors (cancer), vernalis/novartis;hsp 90 inhibitors, cancer research ventures/vernalis;hsp 90 inhibitors, institute of cancer research/vernalis;hsp 90 inhibitors, ribotargets/institute of cancer research;nvp-auy-922;ph-3;rbt-0027129;rbt-0028535;rbt-0036283;rbt-0045856;ver-27129;ver-28535;ver-45864;ver-49537;ver-50589;ver-51000;ver-510747;luminespib mesylate"
REP.PRIMARY,2.5,SEROTONIN,"DRD1, DRD5, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR3A, HTR3B, HTR4, HTR5A, HTR6, HTR7, SLC36A1",GROWTH FACTOR RECEPTOR ACTIVATOR,BRD:BRD-K38580127-003-15-4,"DRD1,DRD5,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR3A,HTR3B,HTR4,HTR5A,HTR6,HTR7,SLC36A1,HRH1,SLC6A4,DRD2,HRH3,SLC6A2",NaN,NaN,"5-ht2c antagonist, tsumura;serotonin 2c receptor antagonist, tsumura"
REP.PRIMARY,2.5,SULISOBENZONE,"","",BRD:BRD-K38602774-001-03-2,"",,,
REP.PRIMARY,2.5,ROXITHROMYCIN,"ABCB1, MLNR",BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,BRD:BRD-K38684403-001-05-4,"ABCB1,MLNR",",","ABCB1,MLNR,",anuar;assoral;azuril;cirumycin;claramid;claramida;clarmil;forilin;herem;laurie was;macrol;macrosil;macroten;overal;rancolid;renicin;ritosin;rossitrol;rotesan;rotramin;roxibion;roxid;roximin;roxithromycin;roxitrol;ru-28965;rulid;rulide;rulin;simacron;sitro;surlid
REP.PRIMARY,2.5,BETA-AMYLOID-SYNTHESIS-INHIBITOR,APP,BETA AMYLOID SYNTHESIS INHIBITOR,BRD:BRD-K38687824-001-02-5,APP,,,
REP.PRIMARY,2.46,PD-128907,"DRD2, DRD3",DOPAMINE RECEPTOR AGONIST,BRD:BRD-K38797369-003-01-1,"DRD2,DRD3",",","DRD2,DRD3,","pd-128907;dopamine d3 agonists, parke-davis"
REP.PRIMARY,2.5,GANETESPIB,HSP90AA1,HSP INHIBITOR,BRD:BRD-K38852836-001-02-1,"HSP90AA1,WT1","HSP90AA1,WT1,","HSP90AA1,","adx 1612;adx1612;adx-1612;ganetespib;hsp90 inhibitors, madrigal;sta 9090;sta-9090;hsp90 inhibitor (intravenous, cancer), madrigal;hsp90 inhibitor (intravenous, cancer), synta"
REP.PRIMARY,2.5,JK-184,"",HEDGEHOG PATHWAY INHIBITOR,BRD:BRD-K38860038-001-01-2,"",,,
REP.PRIMARY,2.5,MK-0773,AR,ANDROGEN RECEPTOR MODULATOR,BRD:BRD-K38868394-001-01-3,AR,"AR,","AR,",mk0773;mk-0773;mk-773;c-8500
REP.PRIMARY,2.5,HESPERIDIN,"AURKB, CACNA1B",FLAVANONE GLYCOSIDE,BRD:BRD-K38903228-001-13-5,"AHR,AURKB,CACNA1B",",","AHR,",capiven;capiven (chewable);daflon;daflon (chewable);daflon 500;detralex;detralex (chewable);diosmin + hesperidine;diosmin + hesperidine (chewable);hesperidine + diosmin;hesperidine + diosmin (chewable);s-5682;venitol
REP.PRIMARY,2.5,SAR131675,FLT4,VEGFR INHIBITOR,BRD:BRD-K38904395-001-02-3,FLT4,,,
REP.PRIMARY,2.5,APRACLONIDINE,"ADRA1A, ADRA2A, ADRA2B, ADRA2C",ADRENERGIC RECEPTOR AGONIST,BRD:BRD-K38911213-003-01-6,"ADRA1A,ADRA2A,ADRA2B,ADRA2C",",","ADRA1A,ADRA2A,ADRA2B,ADRA2C,","alo-2145;aplonidine;apraclonidine;apraclonidine (injectable);apraclonidine hydrochloride;apraclonidine hydrochloride, alcon;apraclonidine hydrochloride, ophthalmic solution;apraclonidine, alcon;iopidine;lopimax;p-aminoclonidine"
REP.PRIMARY,2.5,AZIMILIDE,"KCNA5, KCNE1, KCNH2, KCNQ1",POTASSIUM CHANNEL BLOCKER,BRD:BRD-K38913877-300-01-9,"KCNA5,KCNE1,KCNH2,KCNQ1","KCNH2,KCNQ1,","KCNA5,KCNE1,KCNH2,KCNQ1,",azimilide;azimilide dihydrochloride;ne10064;ne-10064;stedicor;ne-10171;ne-11178;ta-1048;azilimide dihydrochloride
REP.PRIMARY,2.5,MORNIFLUMATE,"",ANTI-INFLAMMATORY AGENT,BRD:BRD-K38938675-001-01-4,CLCA1,"CLCA1,",",",morniflumate;up-164
REP.PRIMARY,2.5,OCTOCRYLENE,"","",BRD:BRD-K39023557-001-01-7,"",,,
